"","stake","date","name","buy","sell","total"
"1","2363矽統","110/07/16","國票-長城",461,21,440
"2","2363矽統","110/07/16","新加坡商瑞銀",155,482,-327
"3","2363矽統","110/07/16","凱基-豐中",201,3,198
"4","2363矽統","110/07/16","港商野村",253,546,-293
"5","2363矽統","110/07/16","凱基-土城",132,9,123
"6","2363矽統","110/07/16","摩根大通",116,401,-285
"7","2363矽統","110/07/16","台新證券",199,78,121
"8","2363矽統","110/07/16","瑞士信貸",291,533,-242
"9","2363矽統","110/07/16","日盛-中和",74,0,74
"10","2363矽統","110/07/16","日盛-竹北",19,248,-229
"11","2363矽統","110/07/16","日盛-員林",66,3,63
"12","2363矽統","110/07/16","臺銀-金山",4,211,-207
"13","2363矽統","110/07/16","國票-中和",60,3,57
"14","2363矽統","110/07/16","元大-大統",13,138,-125
"15","2363矽統","110/07/16","新光",240,184,56
"16","2363矽統","110/07/16","永豐金證券",11,125,-114
"17","2363矽統","110/07/16","富邦-竹東",65,9,56
"18","2363矽統","110/07/16","兆豐-民生",2,101,-99
"19","2363矽統","110/07/16","華南永昌-鳳山",56,1,55
"20","2363矽統","110/07/16","群益金鼎-松山",2,100,-98
"21","2363矽統","110/07/16","凱基-台北",520,466,54
"22","2363矽統","110/07/16","元大-花蓮",8,99,-91
"23","2363矽統","110/07/16","元富-城東",63,12,51
"24","2363矽統","110/07/16","華南永昌-虎尾",68,154,-86
"25","2363矽統","110/07/16","群益金鼎-桃園",56,5,51
"26","2363矽統","110/07/16","富邦-新竹華信",7,89,-82
"27","2363矽統","110/07/16","北城證券",60,10,50
"28","2363矽統","110/07/16","元大-佳里",3,81,-78
"29","2363矽統","110/07/16","國票-九鼎",57,7,50
"30","2363矽統","110/07/16","玉山-南京東路",0,73,-73
"31","8112至上","110/07/16","宏遠證券",551,6,545
"32","8112至上","110/07/16","玉山-桃園",42,318,-276
"33","8112至上","110/07/16","台灣摩根士丹利",317,11,306
"34","8112至上","110/07/16","美林",64,305,-241
"35","8112至上","110/07/16","新加坡商瑞銀",378,73,305
"36","8112至上","110/07/16","宏遠-館前",16,212,-196
"37","8112至上","110/07/16","凱基-台北",758,553,205
"38","8112至上","110/07/16","玉山-嘉義",19,95,-76
"39","8112至上","110/07/16","富邦證券",127,0,127
"40","8112至上","110/07/16","群益金鼎-三民",7,82,-75
"41","8112至上","110/07/16","台新證券",129,30,99
"42","8112至上","110/07/16","日盛-二林",1,73,-72
"43","8112至上","110/07/16","花旗環球",97,0,97
"44","8112至上","110/07/16","玉山-台大",8,76,-68
"45","8112至上","110/07/16","永豐金-台南",97,8,89
"46","8112至上","110/07/16","元富-台南",1,68,-67
"47","8112至上","110/07/16","元大-大天母",93,15,78
"48","8112至上","110/07/16","玉山-板橋",4,71,-67
"49","8112至上","110/07/16","亞東-板橋",72,2,70
"50","8112至上","110/07/16","臺灣企銀-埔墘",0,60,-60
"51","8112至上","110/07/16","永豐金-中正",64,9,55
"52","8112至上","110/07/16","華南永昌-鶯歌",11,64,-53
"53","8112至上","110/07/16","大昌-樹林",53,2,51
"54","8112至上","110/07/16","元大-士林",7,59,-52
"55","8112至上","110/07/16","凱基-永和",56,5,51
"56","8112至上","110/07/16","元富-新店",8,57,-49
"57","8112至上","110/07/16","兆豐-竹北",53,3,50
"58","8112至上","110/07/16","富邦-陽明",9,58,-49
"59","8112至上","110/07/16","日盛-豐原",48,0,48
"60","8112至上","110/07/16","元大-發財",0,49,-49
"61","1570力肯","110/07/16","新光",71,6,65
"62","1570力肯","110/07/16","元大-高雄",0,23,-23
"63","1570力肯","110/07/16","國票-北高雄",21,0,21
"64","1570力肯","110/07/16","合庫-台南",0,20,-20
"65","1570力肯","110/07/16","凱基-台北",17,1,16
"66","1570力肯","110/07/16","元富-新店",0,15,-15
"67","1570力肯","110/07/16","群益金鼎-高雄",15,0,15
"68","1570力肯","110/07/16","元大-東港",0,10,-10
"69","1570力肯","110/07/16","富邦-建國",10,0,10
"70","1570力肯","110/07/16","中國信託",0,7,-7
"71","1570力肯","110/07/16","元大-士林",5,0,5
"72","1570力肯","110/07/16","台新證券",0,6,-6
"73","1570力肯","110/07/16","瑞士信貸",3,0,3
"74","1570力肯","110/07/16","日盛-信義",0,5,-5
"75","1570力肯","110/07/16","臺銀-高雄",2,0,2
