"","stake","date","name","buy","sell","total"
"1","1315達新","110/08/25","凱基-中港",7,0,7
"2","1315達新","110/08/25","群益金鼎-東湖",0,9,-9
"3","1315達新","110/08/25","富邦-台中",7,0,7
"4","1315達新","110/08/25","永豐金證券",0,8,-8
"5","1315達新","110/08/25","台灣摩根士丹利",4,0,4
"6","1315達新","110/08/25","群益金鼎-瑞豐",0,3,-3
"7","1315達新","110/08/25","元大-歸仁",2,0,2
"8","1315達新","110/08/25","元富-世貿",0,2,-2
"9","1315達新","110/08/25","元大-南屯",2,0,2
"10","1315達新","110/08/25","元富-花蓮",0,2,-2
"11","1315達新","110/08/25","永豐金-中正",2,0,2
"12","1315達新","110/08/25","元大-文心興安",0,2,-2
"13","1315達新","110/08/25","統一-城中",1,0,1
"14","1315達新","110/08/25","宏遠-館前",0,1,-1
"15","1315達新","110/08/25","統一-三重",1,0,1
"16","1315達新","110/08/25","統一-敦南",0,1,-1
"17","1315達新","110/08/25","德信-中正",1,0,1
"18","1315達新","110/08/25","元富-文心",0,1,-1
"19","1315達新","110/08/25","玉山-新莊",1,0,1
"20","1315達新","110/08/25","兆豐-嘉義",0,1,-1
"21","1315達新","110/08/25","國泰-台南",1,0,1
"22","1315達新","110/08/25","凱基-市政",0,1,-1
"23","1315達新","110/08/25","群益金鼎-建成",1,0,1
"24","1315達新","110/08/25","元大-開元",0,1,-1
"25","1315達新","110/08/25","群益金鼎-鳳山",1,0,1
"26","1315達新","110/08/25","元大-東蘆",0,1,-1
"27","1315達新","110/08/25","凱基",1,0,1
"28","1315達新","110/08/25","元大-桃園",0,1,-1
"29","1315達新","110/08/25","凱基-台北",1,0,1
"30","1315達新","110/08/25","元大-北投",0,1,-1
"31","2609陽明","110/08/25","康和",4817,1130,3687
"32","2609陽明","110/08/25","富邦證券",20,1499,-1479
"33","2609陽明","110/08/25","富邦-虎尾",5954,3739,2215
"34","2609陽明","110/08/25","華南永昌-虎尾",60,1507,-1447
"35","2609陽明","110/08/25","台灣摩根士丹利",2126,25,2101
"36","2609陽明","110/08/25","華南永昌-竹北",35,1362,-1327
"37","2609陽明","110/08/25","凱基-台北",2778,942,1836
"38","2609陽明","110/08/25","富邦-建國",327,1397,-1070
"39","2609陽明","110/08/25","兆豐-虎尾",5704,4355,1349
